"","Country","Region","Subregion","Population","Christian"," %","Muslim"," %","Unaffiliated"," %","Hindu"," %","Buddhist"," %","Folk Religion"," %","Other Religion"," %","Jewish"," %"
"1"," Burundi","Sub-Saharan Africa","Eastern Africa","8 380 000","7 667 700","91.50 %","234 640","2.80 %","0","0.00 %","0","0.00 %","0","0.00 %","477 660","5.70 %","0","0.00 %","0","0.00 %"
"2"," Comoros","Sub-Saharan Africa","Eastern Africa","730 000","3 650","0.50 %","717 590","98.30 %","730","0.10 %","0","0.00 %","0","0.00 %","7 300","1.00 %","0","0.00 %","0","0.00 %"
"3"," Djibouti (Horn of Africa)","Sub-Saharan Africa","Eastern Africa","890 000","20 470","2.30 %","862 410","96.90 %","1 780","0.20 %","0","0.00 %","0","0.00 %","2 670","0.30 %","0","0.00 %","1 780","0.20 %"
"4"," Eritrea (Horn of Africa)","Sub-Saharan Africa","Eastern Africa","5 250 000","3 302 250","62.90 %","1 921 500","36.60 %","5 250","0.10 %","0","0.00 %","0","0.00 %","21 000","0.40 %","0","0.00 %","0","0.00 %"
"5"," Ethiopia (Horn of Africa)","Sub-Saharan Africa","Eastern Africa","82 950 000","52 092 600","62.80 %","28 700 700","34.60 %","50 000","0.06 %","0","0.00 %","0","0.00 %","2 156 700","2.60 %","0","0.00 %","0","0.00 %"
"6"," Kenya","Sub-Saharan Africa","Eastern Africa","40 510 000","34 352 480","84.80 %","3 929 470","9.70 %","1 012 750","2.50 %","40 510","0.10 %","0","0.00 %","688 670","1.70 %","486 120","1.20 %","0","0.00 %"
"7"," Madagascar","Sub-Saharan Africa","Eastern Africa","20 710 000","17 665 630","85.30 %","621 300","3.00 %","1 428 990","6.90 %","10 000","0.05 %","0","0.00 %","931 950","4.50 %","20 000","0.10 %","0","0.00 %"
"8"," Malawi","Sub-Saharan Africa","Eastern Africa","14 900 000","12 322 300","82.70 %","1 937 000","13.00 %","372 500","2.50 %","0","0.00 %","0","0.00 %","253 300","1.70 %","0","0.00 %","0","0.00 %"
"9"," Mauritius","Sub-Saharan Africa","Eastern Africa","1 300 000","328 900","25.30 %","217 100","16.70 %","7 800","0.60 %","733 200","56.40 %","0","0.00 %","9 100","0.70 %","3 900","0.30 %","0","0.00 %"
"10"," Mayotte","Sub-Saharan Africa","Eastern Africa","200 000","1 400","0.70 %","197 200","98.60 %","400","0.20 %","0","0.00 %","0","0.00 %","1 000","0.50 %","0","0.00 %","0","0.00 %"
"11"," Mozambique","Sub-Saharan Africa","Eastern Africa","23 390 000","13 262 130","56.70 %","4 210 200","18.00 %","4 186 810","17.90 %","0","0.00 %","0","0.00 %","1 730 860","7.40 %","0","0.00 %","0","0.00 %"
"12"," Réunion","Sub-Saharan Africa","Eastern Africa","850 000","744 600","87.60 %","35 700","4.20 %","17 000","2.00 %","38 250","4.50 %","1 700","0.20 %","3 400","0.40 %","9 350","1.10 %","0","0.00 %"
"13"," Rwanda","Sub-Saharan Africa","Eastern Africa","10 620 000","9 919 080","93.40 %","191 160","1.80 %","382 320","3.60 %","0","0.00 %","0","0.00 %","106 200","1.00 %","21 240","0.20 %","0","0.00 %"
"14"," Seychelles","Sub-Saharan Africa","Eastern Africa","90 000","84 600","94.00 %","990","1.10 %","1 890","2.10 %","1 890","2.10 %","0","0.00 %","0","0.00 %","540","0.60 %","0","0.00 %"
"15"," Somalia (Horn of Africa)","Sub-Saharan Africa","Eastern Africa","9 330 000","0","0.00 %","9 311 340","99.80 %","0","0.00 %","0","0.00 %","0","0.00 %","0","0.00 %","0","0.00 %","0","0.00 %"
"16"," South Sudan","Sub-Saharan Africa","Eastern Africa","9 950 000","6 019 750","60.50 %","616 900","6.20 %","49 750","0.50 %","0","0.00 %","0","0.00 %","3 273 550","32.90 %","0","0.00 %","0","0.00 %"
"17"," Tanzania","Sub-Saharan Africa","Eastern Africa","44 840 000","27 531 760","61.40 %","15 783 680","35.20 %","627 760","1.40 %","44 840","0.10 %","0","0.00 %","807 120","1.80 %","30 000","0.07 %","0","0.00 %"
"18"," Uganda","Sub-Saharan Africa","Eastern Africa","33 420 000","28 975 140","86.70 %","3 843 300","11.50 %","167 100","0.50 %","100 260","0.30 %","0","0.00 %","300 780","0.90 %","33 420","0.10 %","0","0.00 %"
"19"," Zambia","Sub-Saharan Africa","Eastern Africa","13 090 000","12 775 840","97.60 %","65 450","0.50 %","65 450","0.50 %","13 090","0.10 %","0","0.00 %","39 270","0.30 %","117 810","0.90 %","0","0.00 %"
"20"," Zimbabwe","Sub-Saharan Africa","Eastern Africa","12 570 000","10 935 900","87.00 %","113 130","0.90 %","993 030","7.90 %","0","0.00 %","0","0.00 %","477 660","3.80 %","37 710","0.30 %","10 000","0.08 %"
"21","Eastern Africa","Sub-Saharan Africa","Eastern Africa","333 970 000","238 006 180","71.27 %","73 510 760","22.01 %","9 371 310","2.81 %","982 040","0.29 %","1 700","0.00 %","11 288 190","3.38 %","760 090","0.23 %","11 780","0.00 %"
"22","Country","Region","Subregion","Population","Christian","%","Muslim","%","Unaffiliated","%","Hindu","%","Buddhist","%","Folk Religion","%","Other Religion","%","Jewish","%"
"23"," Angola","Sub-Saharan Africa","Middle Africa","19 080 000","17 267 400","90.50 %","38 160","0.20 %","973 080","5.10 %","0","0.00 %","0","0.00 %","801 360","4.20 %","0","0.00 %","0","0.00 %"
"24"," Cameroon","Sub-Saharan Africa","Middle Africa","19 600 000","13 778 800","70.30 %","3 586 800","18.30 %","1 038 800","5.30 %","0","0.00 %","0","0.00 %","646 800","3.30 %","529 200","2.70 %","0","0.00 %"
"25"," Central African Republic","Sub-Saharan Africa","Middle Africa","4 400 000","3 938 000","89.50 %","374 000","8.50 %","44 000","1.00 %","0","0.00 %","0","0.00 %","44 000","1.00 %","0","0.00 %","0","0.00 %"
"26"," Chad","Sub-Saharan Africa","Middle Africa","11 230 000","4 559 380","40.60 %","6 210 190","55.30 %","280 750","2.50 %","0","0.00 %","0","0.00 %","157 220","1.40 %","11 230","0.10 %","0","0.00 %"
"27"," Congo, Democratic Republic of the","Sub-Saharan Africa","Middle Africa","65 970 000","63 199 260","95.80 %","989 550","1.50 %","1 187 460","1.80 %","30 000","0.05 %","0","0.00 %","461 790","0.70 %","65 970","0.10 %","0","0.00 %"
"28"," Congo, Republic of the","Sub-Saharan Africa","Middle Africa","4 040 000","3 470 360","85.90 %","48 480","1.20 %","363 600","9.00 %","0","0.00 %","0","0.00 %","113 120","2.80 %","44 440","1.10 %","0","0.00 %"
"29"," Equatorial Guinea","Sub-Saharan Africa","Middle Africa","700 000","620 900","88.70 %","28 000","4.00 %","35 000","5.00 %","0","0.00 %","0","0.00 %","11 900","1.70 %","3 500","0.50 %","0","0.00 %"
